Epsilon,Length,Delay,TotalError,CalcError
0,2,1,0,0.25
0,2,0,0.5,0
0,2,0,0.5,0.25
0,2,1,0.5,0
0,2,0,0,0.25
0,2,1,0.5,0
0,2,0,0,0.25
0,2,0,0.5,0
0,2,0,0.5,0.25
0,2,1,0.5,0
0,2,1,0,0.25
0,2,0,0,0
0,2,0,0.5,0.25
0,2,1,0.5,0.25
0,2,0,0.5,0.25
0,2,1,0.5,0.25
0,2,0,0.5,0
0,2,1,0.5,0.25
0,2,1,0.5,0
0,2,1,0.5,0.25
0,2,0,0.5,0
0,2,0,0,0.25
0,2,1,0.5,0
0,2,1,0.5,0
0,2,0,0,0.25
0,2,1,0.5,0.25
0,2,1,0.5,0
0,2,1,0,0.25
0,2,0,0.5,0
0,2,0,0.5,0.25
0,2,1,0.5,0
0,2,0,0.5,0.25
0,2,0,0,0.25
0,2,0,0.5,0
0,2,1,0.5,0.25
0,2,1,0,0.25
0,2,1,0.5,0.25
0,2,1,0.5,0
0,2,1,0.5,0
0,2,0,0,0.25
0,2,1,0.5,0.25
0,2,1,0,0.25
0,2,0,0.5,0.25
0,2,0,0.5,0
0,2,1,0.5,0.25
0,2,1,0.5,0.25
0,2,0,0.5,0.25
0,2,0,1,0
0,2,0,1,0
0,2,1,0.5,0
0,2,1,0.5,0
0,2,0,0,0.25
0,2,0,1,0
0,2,1,0.5,0
0,2,0,0,0.25
0,2,0,0,0.25
0,2,0,0.5,0.25
0,2,1,0.5,0
0,2,0,0,0.25
0,2,0,0.5,0.25
0,2,1,0.5,0
0,2,0,0,0
0,2,1,0,0.25
0,2,0,0.5,0.25
0,2,1,0.5,0.25
0,2,0,0,0.25
0,2,1,0.5,0
0,2,1,0,0.25
0,2,0,0,0.25
0,2,1,0.5,0
0,2,0,0,0.25
0,2,1,0,0.25
0,2,1,0.5,0.25
0,2,0,0,0
0,2,0,0.5,0.25
0,2,1,0,0.25
0,2,1,0,0.25
0,2,1,0.5,0
0,2,1,0.5,0
0,2,1,0.5,0
0,2,0,1,0
0,2,1,0,0.25
0,2,0,0.5,0
0,2,1,0.5,0
0,2,1,0.5,0
0,2,1,0.5,0.25
0,2,1,0.5,0
0,2,1,0.5,0.25
0,2,0,0,0
0,2,1,0.5,0
0,2,0,0.5,0.25
0,2,0,0.5,0
0,2,0,0,0
0,2,1,0.5,0
0,2,0,0.5,0
0,2,0,0,0.25
0,2,0,0.5,0
0,2,1,0,0.25
0,2,1,0,0.25
0,2,0,0.5,0.25
0,2,0,0.5,0
0,2,1,0,0.25
0,2,0,0.5,0
0,2,1,0.5,0
0,2,0,0.5,0
0,2,0,0.5,0.25
0,2,0,0,0
0,2,1,0.5,0
0,2,0,1,0
0,2,0,0.5,0
0,2,0,0.5,0.25
0,2,1,0.5,0.25
0,2,1,0.5,0
0,2,0,0.5,0.25
0,2,0,0.5,0
0,2,0,0.5,0.25
0,2,1,0.5,0
0,2,0,0.5,0
0,2,0,0.5,0.25
0,2,1,0.5,0
0,2,1,0.5,0
0,2,0,0.5,0
0,2,0,0,0.25
0,2,1,0,0.25
0,2,1,0.5,0
0,2,0,0,0.25
0,2,0,0.5,0
0,2,0,0.5,0.25
0,2,0,0,0.25
0,2,1,0.5,0
0,2,0,0,0.25
0,2,1,0,0.25
0,2,1,0.5,0
0,2,1,0,0.25
0,2,1,0,0.25
0,2,1,0.5,0.25
0,2,1,0.5,0
0,2,0,0.5,0
0,2,0,0,0.25
0,2,0,1,0
0,2,0,0,0.25
0,2,1,0.5,0.25
0,2,1,0,0.25
0,2,0,0.5,0
0,2,1,0.5,0
0,2,0,0.5,0
0,2,0,0,0.25
0,2,0,1,0
0,2,1,0.5,0
0,2,1,0.5,0
0,2,0,0.5,0.25
0,2,0,1,0
0,2,1,0.5,0
0,2,1,0.5,0
0,2,1,0.5,0
0,2,1,0.5,0.25
0,2,0,0.5,0.25
0,2,0,0,0.25
0,2,0,0.5,0.25
0,2,1,0.5,0
0,2,0,1,0
0,2,0,0,0
0,2,1,0.5,0.25
0,2,0,0.5,0.25
0,2,1,0.5,0
0,2,0,0.5,0.25
0,2,0,0.5,0.25
0,2,0,1,0
0,2,1,0,0.25
0,2,1,0,0.25
0,2,1,0.5,0
0,2,1,0,0.25
0,2,1,0.5,0
0,2,0,0,0.25
0,2,1,0.5,0
0,2,1,0.5,0
0,2,0,0,0.25
0,2,1,0,0.25
0,2,0,0,0
0,2,0,0,0.25
0,2,1,0.5,0.25
0,2,1,0.5,0
0,2,0,0,0.25
0,2,1,0.5,0
0,2,0,0.5,0
0,2,1,0.5,0
0,2,1,0,0.25
0,2,0,0,0.25
0,2,0,0,0.25
0,2,1,0.5,0
0,2,0,0,0.25
0,2,1,0.5,0
0,2,0,0.5,0
0,2,0,0,0.25
0,2,0,0.5,0.25
0,2,1,0.5,0
0,2,1,0,0.25
0,2,1,0.5,0
0,2,1,0,0.25
0,2,0,0,0.25
0,2,1,0.5,0
0,2,1,0.5,0
0,2,1,0.5,0.25
0,2,1,0.5,0
0,2,0,0,0.25
0,2,0,0,0.25
0,2,0,0,0.25
0,2,0,0,0.25
0,2,0,0,0.25
0,2,1,0.5,0
0,2,1,0.5,0
0,2,1,0.5,0
0,2,1,0.5,0.25
0,2,1,0,0.25
0,2,0,0.5,0
0,2,1,0.5,0
0,2,1,0.5,0.25
0,2,0,0.5,0
0,2,0,0,0.25
0,2,0,0.5,0.25
0,2,0,0.5,0
0,2,1,0.5,0.25
0,2,0,0.5,0.25
0,2,1,0.5,0
0,2,1,0,0.25
0,2,0,0,0.25
0,2,0,0.5,0
0,2,1,0.5,0
0,2,0,0.5,0.25
0,2,1,0.5,0
0,2,0,0.5,0
0,2,0,0.5,0
0,2,1,0.5,0
0,2,1,0.5,0.25
0,2,0,0,0.25
0,2,0,0,0.25
0,2,0,1,0
0,2,1,0.5,0.25
0,2,1,0.5,0
0,2,0,0,0.25
0,2,1,0.5,0.25
0,2,0,1,0
0,2,0,0,0.25
0,2,1,0.5,0
0,2,1,0.5,0.25
0,2,1,0.5,0
0,2,1,0,0.25
0,2,0,0.5,0.25
0,2,1,0.5,0.25
0,2,0,0,0.25
0,2,0,0.5,0.25
0,2,1,0,0.25
0,2,0,0,0.25
0,2,0,0,0.25
0,2,0,0.5,0
0,2,1,0.5,0
0,2,0,0.5,0.25
0,2,1,0.5,0
0,2,1,0.5,0
0,2,1,0.5,0.25
0,2,1,0,0.25
0,2,1,0.5,0
0,2,1,0,0.25
0,2,1,0.5,0
0,2,0,1,0
0,2,1,0.5,0
0,2,0,0,0.25
0,2,0,0.5,0.25
0,2,0,0,0.25
0,2,1,0.5,0
0,2,1,0.5,0
0,2,1,0.5,0
0,2,0,1,0
0,2,0,0.5,0
