Epsilon,Length,Delay,TotalError,CalcError
0,1,20,1,0
0,1,20,0.59324,0
0,1,20,1,0
0,1,20,0.77452,0
0,1,20,1,0
0,1,20,0.628618,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1.1314,0
0,1,20,1.31261,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.543413,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.0636632,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1.36597,0
0,1,20,1,0
0,1,20,0.147372,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.389835,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1.13274,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.356402,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1.012,0
0,1,20,0.201635,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.273525,0
0,1,20,2.39245,0
0,1,20,0.195386,0
0,1,20,1.08521,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.0721437,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1.41495,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.57863,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.647122,0
0,1,20,2.03546,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.917647,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.452312,0
0,1,20,1,0
0,1,20,2.58716,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.363819,0
0,1,20,2.41378,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.684893,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1.39023,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.754458,0
0,1,20,1,0
0,1,20,1.4247,0
0,1,20,1,0
0,1,20,0.583295,0
0,1,20,1.28388,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1.12536,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.706149,0
0,1,20,0.842987,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.394574,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.962682,0
0,1,20,1,0
0,1,20,1.9931,0
0,1,20,1,0
0,1,20,0.629618,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.299524,0
0,1,20,0.25581,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.452789,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.286566,0
0,1,20,0.922114,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1.72919,0
0,1,20,1,0
0,1,20,1.08134,0
0,1,20,0.586466,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.986277,0
0,1,20,1,0
0,1,20,1,0
