Epsilon,Length,Delay,TotalError,CalcError
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1.14736,0
0,1,20,2.25961,0
0,1,20,1.308,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.923849,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.190736,0
0,1,20,0.987512,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1.12268,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.628012,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1.30517,0
0,1,20,0.554068,0
0,1,20,0.263418,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.664641,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.745268,0
0,1,20,0.850383,0
0,1,20,0.826953,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1.43284,0
0,1,20,1.84597,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.518899,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.61238,0
0,1,20,2.1509,0
0,1,20,0.292838,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.0697727,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1.74538,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.873625,0
0,1,20,1,0
0,1,20,0.773322,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.950667,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.664173,0
0,1,20,1,0
0,1,20,0.78289,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.916637,0
0,1,20,1,0
0,1,20,0.790688,0
0,1,20,1.20791,0
0,1,20,1,0
0,1,20,0.539829,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1.21672,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.733485,0
0,1,20,1,0
0,1,20,0.932702,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.78593,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1.69137,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.755754,0
0,1,20,1.7415,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.335593,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1.53895,0
0,1,20,0.634837,0
0,1,20,1,0
0,1,20,1.14733,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1.04703,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1.45532,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.732023,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,2.14489,0
0,1,20,0.687004,0
0,1,20,0.509086,0
0,1,20,1,0
0,1,20,0.306839,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.470595,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.566299,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.181294,0
0,1,20,1.01869,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.914349,0
0,1,20,1,0
0,1,20,0.254024,0
0,1,20,0.949362,0
0,1,20,1,0
0,1,20,0.803107,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1.17794,0
0,1,20,1.0653,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.987641,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.818533,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1.11066,0
0,1,20,1,0
0,1,20,0.36677,0
0,1,20,1,0
0,1,20,0.397706,0
0,1,20,0.661378,0
0,1,20,0.830995,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1.66618,0
0,1,20,0.313676,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.467444,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1.475,0
0,1,20,1,0
0,1,20,1.2324,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.257423,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.37627,0
0,1,20,1.29107,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.660646,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1.08553,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.792736,0
0,1,20,1.12985,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1.0277,0
0,1,20,1,0
0,1,20,0.434915,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.953473,0
0,1,20,1,0
0,1,20,0.597738,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.0810482,0
0,1,20,0.618544,0
0,1,20,1,0
0,1,20,0.0144459,0
0,1,20,0.260698,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1.59757,0
0,1,20,1,0
0,1,20,0.904265,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1.06829,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.420972,0
0,1,20,0.629069,0
0,1,20,1.53644,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.265374,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,2.05986,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1.32344,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1.3224,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.872432,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.920812,0
0,1,20,0.198999,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.275154,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1.21491,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1.1951,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.775406,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,2.6024,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,0.944136,0
0,1,20,1,0
0,1,20,1.46093,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1.23437,0
0,1,20,1,0
0,1,20,0.343723,0
0,1,20,1,0
