Epsilon,Length,Delay,TotalError,CalcError
0,1,30,1.42857,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,0.886913,0
0,1,30,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,2.46539,0
0,1,20,1,0
0,1,30,0.641746,0
0,1,30,0.836529,0
0,1,30,0.496405,0
0,1,30,1,0
0,1,20,1,0
0,1,30,0.363606,0
0,1,30,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1.96786,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,0.474703,0
0,1,30,1.93978,0
0,1,20,1,0
0,1,30,2.20957,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,0.406218,0
0,1,30,1,0
0,1,30,0.853344,0
0,1,30,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,0.545166,0
0,1,30,0.290446,0
0,1,30,2.24012,0
0,1,30,1.69179,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,0.586393,0
0,1,30,1.51609,0
0,1,30,0.369744,0
0,1,30,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,0.821861,0
0,1,30,1,0
0,1,30,1.47306,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,0.634403,0
0,1,30,0.366648,0
0,1,30,1,0
0,1,30,1,0
0,1,30,0.271949,0
0,1,20,1,0
0,1,20,1,0
0,1,30,0.512283,0
0,1,30,0.51536,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,0.832957,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,0.814978,0
0,1,30,1,0
0,1,30,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,1.27301,0
0,1,30,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,0.350277,0
0,1,20,1,0
0,1,30,2.42086,0
0,1,30,1,0
0,1,30,0.596244,0
0,1,30,0.384172,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,1.2227,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,1.18822,0
0,1,30,0.960517,0
0,1,30,1,0
0,1,30,0.790578,0
0,1,20,1,0
0,1,30,0.483395,0
0,1,20,1,0
0,1,30,2.01548,0
0,1,30,1.09683,0
0,1,30,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,1.02839,0
0,1,30,1,0
0,1,30,1,0
0,1,30,1.52999,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1.33776,0
0,1,30,1,0
0,1,20,1,0
0,1,30,0.495826,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1.04288,0
0,1,20,1,0
0,1,30,1.16805,0
0,1,30,0.727754,0
0,1,30,1,0
0,1,30,0.178788,0
0,1,30,1,0
0,1,30,0.680385,0
0,1,20,1,0
0,1,30,1,0
0,1,30,0.431626,0
0,1,20,1,0
0,1,20,1,0
0,1,30,0.932538,0
0,1,20,1,0
0,1,30,1,0
0,1,30,1,0
0,1,30,0.97895,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,0.208573,0
0,1,30,1,0
0,1,30,1,0
0,1,30,1.13924,0
0,1,30,1,0
0,1,30,1,0
0,1,30,0.895453,0
0,1,20,1,0
0,1,30,1,0
0,1,30,0.201162,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,0.390439,0
0,1,30,1,0
0,1,30,0.511256,0
0,1,30,1,0
0,1,30,0.37991,0
0,1,30,0.683823,0
0,1,30,1,0
0,1,30,0.461599,0
0,1,30,0.818448,0
0,1,20,1,0
0,1,30,1.48494,0
0,1,20,1,0
0,1,30,1,0
0,1,30,1.7399,0
0,1,20,1,0
0,1,30,1.41404,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,0.239543,0
0,1,30,1.71796,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1.34685,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,0.414665,0
0,1,30,2.2117,0
0,1,30,1,0
0,1,20,1,0
0,1,30,0.638847,0
0,1,20,1,0
0,1,30,0.269186,0
0,1,30,0.984691,0
0,1,30,1,0
0,1,30,0.674924,0
0,1,30,1,0
0,1,20,1,0
0,1,30,0.895415,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1.55218,0
0,1,30,0.640695,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,2.52472,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,0.738934,0
0,1,30,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,0.953405,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,1.44434,0
0,1,30,1,0
0,1,30,1,0
0,1,30,2.04684,0
0,1,30,1.24931,0
0,1,20,1,0
0,1,30,2.40679,0
0,1,30,0.660021,0
0,1,30,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1.71441,0
0,1,30,1,0
0,1,30,1.15988,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,0.35602,0
0,1,30,1.57335,0
0,1,30,1.62023,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,0.889717,0
0,1,30,1,0
0,1,30,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,0.426229,0
0,1,30,0.982157,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,0.387574,0
0,1,30,0.952314,0
0,1,30,1.29098,0
0,1,30,0.198848,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,1,0
0,1,30,0.381698,0
0,1,20,1,0
0,1,30,0.749094,0
0,1,20,1,0
0,1,20,1,0
