Epsilon,Length,Delay,TotalError,CalcError
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,0.535048,0
0,1,30,0.844895,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,0.515485,0
0,1,30,0.530014,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,2.29361,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,0.248798,0
0,1,20,1,0
0,1,30,0.528946,0
0,1,30,0.52537,0
0,1,20,1,0
0,1,30,0.705482,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,0.234769,0
0,1,20,1,0
0,1,30,1.27402,0
0,1,30,1,0
0,1,30,1.2002,0
0,1,20,1,0
0,1,30,0.394219,0
0,1,30,0.703997,0
0,1,20,1,0
0,1,30,0.910784,0
0,1,20,1,0
0,1,20,1,0
0,1,30,0.719442,0
0,1,30,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,0.92836,0
0,1,20,1,0
0,1,20,1,0
0,1,30,0.264326,0
0,1,30,0.331781,0
0,1,20,1,0
0,1,20,1,0
0,1,30,0.284579,0
0,1,30,0.555095,0
0,1,30,0.911289,0
0,1,30,0.398734,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,0.512168,0
0,1,20,1,0
0,1,30,0.888192,0
0,1,20,1,0
0,1,30,0.592293,0
0,1,20,1,0
0,1,20,1,0
0,1,30,0.846317,0
0,1,20,1,0
0,1,30,1.83132,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1.21474,0
0,1,30,1.16317,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,0.384645,0
0,1,30,1,0
0,1,30,1.71371,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,0.0817827,0
0,1,20,1,0
0,1,30,1.6122,0
0,1,20,1,0
0,1,30,1.7636,0
0,1,20,1,0
0,1,20,1,0
0,1,30,0.0484876,0
0,1,30,1.31833,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,1.10474,0
0,1,20,1,0
0,1,30,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1.30199,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,0.725416,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,1.42189,0
0,1,20,1,0
0,1,30,1.88243,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1.14583,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,0.830801,0
0,1,20,1,0
0,1,20,1,0
0,1,30,0.794462,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,0.839561,0
0,1,30,0.645521,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,1.15588,0
0,1,20,1,0
0,1,30,1.32105,0
0,1,30,0.935813,0
0,1,30,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,1,0
0,1,30,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,0.974406,0
0,1,20,1,0
0,1,30,1.41123,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,0.725145,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1.46526,0
0,1,30,1.06151,0
0,1,30,1,0
0,1,20,1,0
0,1,30,0.727403,0
0,1,30,1,0
0,1,30,1.21771,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,1.09666,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1.60318,0
0,1,30,0.711292,0
0,1,30,1.98048,0
0,1,30,1.52633,0
0,1,20,1,0
0,1,30,2.57884,0
0,1,20,1,0
0,1,30,0.336351,0
0,1,20,1,0
0,1,30,0.246158,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1.6909,0
0,1,20,1,0
0,1,20,1,0
0,1,30,0.488189,0
0,1,20,1,0
0,1,30,1.35762,0
0,1,30,0.831831,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,0.534096,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,0.474009,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,0.307371,0
0,1,30,0.346649,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,0.14483,0
0,1,20,1,0
0,1,30,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,0.625527,0
0,1,30,0.187517,0
0,1,30,1,0
0,1,30,0.824243,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,0.710825,0
0,1,30,1,0
0,1,30,0.170206,0
0,1,20,1,0
0,1,30,0.926828,0
0,1,30,0.706874,0
0,1,20,1,0
0,1,20,1,0
0,1,30,0.186764,0
0,1,30,1.1759,0
0,1,30,0.795865,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,1.37866,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,0.418145,0
0,1,30,2.34915,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,0.546341,0
0,1,30,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,1.12516,0
0,1,30,1,0
0,1,30,0.970839,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1.13088,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,1.70669,0
0,1,30,0.635962,0
0,1,20,1,0
0,1,30,0.507492,0
0,1,20,1,0
0,1,30,0.503529,0
0,1,30,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,1,0
0,1,30,0.606938,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1.40529,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,1.79368,0
0,1,30,0.520673,0
0,1,30,0.198517,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,0.823612,0
0,1,30,0.421351,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,1.10009,0
0,1,30,0.360926,0
0,1,20,1,0
0,1,30,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,1.22881,0
0,1,30,1.75428,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,0.548067,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,0.729082,0
0,1,20,1,0
0,1,30,1,0
0,1,30,0.488137,0
0,1,30,0.472863,0
0,1,20,1,0
0,1,30,0.355391,0
0,1,20,1,0
0,1,30,1,0
0,1,30,1.66513,0
0,1,20,1,0
0,1,30,1.31595,0
0,1,30,0.724269,0
0,1,30,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,0.68893,0
0,1,30,1,0
0,1,20,1,0
0,1,30,2.30515,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,0.62792,0
0,1,30,0.821329,0
0,1,30,1.47104,0
0,1,30,1,0
0,1,30,0.551463,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,0.406296,0
0,1,20,1,0
0,1,20,1,0
0,1,20,1,0
0,1,30,1,0
0,1,20,1,0
0,1,30,1,0
0,1,30,1.10886,0
0,1,30,1,0
0,1,30,1,0
0,1,30,1,0
0,1,20,1,0
