Epsilon,Length,Delay,TotalError,CalcError
0,1,0,1.87451,0
0,1,0,1,0
0,1,0,0.217276,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.617772,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.196573,0
0,1,0,2.02847,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.864764,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.778961,0
0,1,0,1,0
0,1,0,2.22842,0
0,1,0,2.56267,0
0,1,0,1,0
0,1,0,0.393519,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.632351,0
0,1,0,1.11313,0
0,1,0,0.911068,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.591193,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.468035,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.58715,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.91831,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.257136,0
0,1,0,0.620975,0
0,1,0,0.391335,0
0,1,0,0.880025,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.249099,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.581553,0
0,1,0,1,0
0,1,0,0.985194,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.0416498,0
0,1,0,0.468482,0
0,1,0,0.205736,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.156684,0
0,1,0,1,0
0,1,0,1.55757,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.56972,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.67334,0
0,1,0,1,0
0,1,0,1.25719,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.890409,0
0,1,0,2.09188,0
0,1,0,1.03057,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.577506,0
0,1,0,1,0
0,1,0,1.52009,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.365937,0
0,1,0,1.06866,0
0,1,0,0.715101,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.11763,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.662933,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.702966,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.90571,0
0,1,0,0.148394,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.934695,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.441308,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.868088,0
0,1,0,1.01434,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.78026,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.195048,0
0,1,0,0.790774,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.95593,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.0456105,0
0,1,0,1.20579,0
0,1,0,0.50103,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.32636,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.43941,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.21398,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.278196,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.85136,0
0,1,0,1,0
0,1,0,0.385812,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.84578,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.222203,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.16712,0
0,1,0,1,0
0,1,0,0.53347,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.338688,0
0,1,0,1,0
0,1,0,0.599711,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.720377,0
0,1,0,1.31061,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.1205,0
0,1,0,0.660914,0
0,1,0,1,0
0,1,0,0.69621,0
0,1,0,2.8369,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.116684,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.501702,0
0,1,0,1,0
0,1,0,1.56967,0
0,1,0,1,0
0,1,0,0.520009,0
0,1,0,1,0
0,1,0,0.358716,0
0,1,0,1,0
0,1,0,0.23875,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.33579,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.848113,0
0,1,0,0.566168,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.60239,0
0,1,0,1,0
0,1,0,0.17055,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.34096,0
0,1,0,0.914954,0
0,1,0,1,0
0,1,0,1.81705,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.850248,0
0,1,0,1,0
0,1,0,0.642765,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.730882,0
0,1,0,0.420507,0
0,1,0,1,0
0,1,0,1.42437,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.04701,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.697965,0
0,1,0,1,0
0,1,0,1.00957,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,2.03466,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.633264,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.429174,0
0,1,0,1,0
0,1,0,1.36103,0
0,1,0,1,0
0,1,0,0.521804,0
0,1,0,0.561633,0
0,1,0,1,0
0,1,0,0.905922,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.640474,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.61656,0
0,1,0,0.22401,0
0,1,0,1,0
0,1,0,1.54357,0
0,1,0,1,0
0,1,0,0.650512,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.11885,0
0,1,0,1,0
0,1,0,0.759195,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.575754,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.58518,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.16575,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.78735,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.719031,0
0,1,0,1,0
0,1,0,1,0
0,1,0,2.03734,0
0,1,0,1.34684,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.519977,0
0,1,0,1,0
0,1,0,1.46985,0
0,1,0,1,0
0,1,0,2.40545,0
0,1,0,0.675635,0
0,1,0,2.06266,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.18056,0
0,1,0,0.456097,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.1074,0
0,1,0,1,0
0,1,0,0.428885,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.280443,0
0,1,0,0.588856,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.367966,0
0,1,0,1,0
0,1,0,0.51583,0
0,1,0,2.80389,0
0,1,0,0.937185,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.882394,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.522513,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.605751,0
0,1,0,1,0
0,1,0,1.15929,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.66346,0
0,1,0,1.62544,0
0,1,0,1,0
0,1,0,1.71883,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.624078,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.47894,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.22461,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.00878,0
0,1,0,0.916888,0
0,1,0,0.511589,0
0,1,0,1.33921,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.530462,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.40856,0
0,1,0,1,0
0,1,0,0.32,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
