Epsilon,Length,Delay,TotalError,CalcError
0,1,0,1,0
0,1,0,0.280924,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.679466,0
0,1,0,1,0
0,1,0,0.563963,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.887604,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.44184,0
0,1,0,1,0
0,1,0,0.256884,0
0,1,0,1,0
0,1,0,0.852632,0
0,1,0,1.13017,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.759219,0
0,1,0,1,0
0,1,0,0.859492,0
0,1,0,2.08694,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.92399,0
0,1,0,1,0
0,1,0,0.452045,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.681294,0
0,1,0,1,0
0,1,0,1.18126,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.27124,0
0,1,0,1.62432,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.774545,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.920368,0
0,1,0,0.455811,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.917576,0
0,1,0,0.971471,0
0,1,0,0.732595,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.13042,0
0,1,0,0.979627,0
0,1,0,1.44165,0
0,1,0,0.385577,0
0,1,0,1,0
0,1,0,1,0
0,1,0,2.1426,0
0,1,0,1.15832,0
0,1,0,0.648097,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.822725,0
0,1,0,1,0
0,1,0,0.940872,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.335833,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.53649,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.50222,0
0,1,0,1.69089,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.270886,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.87655,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.15959,0
0,1,0,1,0
0,1,0,0.518809,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.515187,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.02494,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.38835,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.08233,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.148489,0
0,1,0,1.62597,0
0,1,0,1.11181,0
0,1,0,1,0
0,1,0,0.938007,0
0,1,0,0.845946,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.487009,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.916226,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.324093,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.161769,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.478221,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.36539,0
0,1,0,0.422112,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.906416,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.237439,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,2.03818,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.642463,0
0,1,0,1,0
0,1,0,1.32748,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.75872,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.584056,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.46194,0
0,1,0,1,0
0,1,0,0.474008,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.65918,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.657357,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.775007,0
0,1,0,1,0
0,1,0,0.125437,0
0,1,0,1,0
0,1,0,0.569728,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.455463,0
0,1,0,0.282534,0
0,1,0,0.336621,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.0441,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.809705,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.21755,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.08263,0
0,1,0,1,0
0,1,0,0.189201,0
0,1,0,1,0
0,1,0,1.13537,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.348272,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.16556,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.866877,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.734495,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.186852,0
0,1,0,0.74765,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.19926,0
0,1,0,1,0
0,1,0,0.862207,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.16939,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.576981,0
0,1,0,1.28261,0
0,1,0,1,0
0,1,0,0.800715,0
0,1,0,1,0
0,1,0,0.0742642,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.14113,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.418075,0
0,1,0,1,0
0,1,0,1.11482,0
0,1,0,1.35025,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.27416,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.931494,0
0,1,0,0.810812,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.901262,0
0,1,0,0.865235,0
0,1,0,1,0
0,1,0,1.03364,0
0,1,0,1,0
0,1,0,0.831385,0
0,1,0,1,0
0,1,0,0.572617,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.289044,0
0,1,0,0.816014,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.468806,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.342261,0
0,1,0,1,0
0,1,0,1.67903,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.655232,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.05571,0
0,1,0,1,0
0,1,0,1.1785,0
0,1,0,1.26947,0
0,1,0,1.01293,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,2.5342,0
0,1,0,1.21372,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.869511,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.59391,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.887681,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.575793,0
0,1,0,0.337004,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
