Epsilon,Length,Delay,TotalError,CalcError
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.46808,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.497324,0
0,1,0,1,0
0,1,0,2.68612,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.45853,0
0,1,0,0.893926,0
0,1,0,1,0
0,1,0,0.997887,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.09225,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.04519,0
0,1,0,1.37641,0
0,1,0,1,0
0,1,0,1.65013,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.16861,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.29069,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.72111,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.403669,0
0,1,0,0.394428,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.63447,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.385493,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.10419,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.412953,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.782998,0
0,1,0,0.413478,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.953074,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.229184,0
0,1,0,1,0
0,1,0,0.224364,0
0,1,0,1,0
0,1,0,0.237961,0
0,1,0,1,0
0,1,0,0.578233,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.70434,0
0,1,0,0.96924,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.901597,0
0,1,0,1,0
0,1,0,1.04453,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.0558908,0
0,1,0,1.25769,0
0,1,0,1,0
0,1,0,0.51484,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.52339,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.107498,0
0,1,0,1,0
0,1,0,1.55745,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.570676,0
0,1,0,1,0
0,1,0,0.811914,0
0,1,0,0.411057,0
0,1,0,0.3242,0
