Epsilon,Length,Delay,TotalError,CalcError
0,1,0,0.959329,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.37056,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.42612,0
0,1,0,2.23057,0
0,1,0,0.774645,0
0,1,0,1,0
0,1,0,0.920714,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.03421,0
0,1,0,1.05258,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,2.28371,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.1521,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.549995,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.60541,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.518271,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.113709,0
0,1,0,1,0
0,1,0,1.38803,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.272148,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.523012,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.540713,0
0,1,0,0.388094,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.29944,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.65497,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,2.36396,0
0,1,0,1,0
0,1,0,1.72185,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.13783,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
