Epsilon,Length,Delay,TotalError,CalcError
0,1,0,1.38625,0.5
0,1,0,1,0
0,1,0,0.624819,0.5
0,1,0,0.0416519,0
0,1,0,0.236436,0
0,1,0,0.906067,0.5
0,1,0,0.99586,0.5
0,1,0,0.288082,0
0,1,0,1.66899,0.5
0,1,0,0.334034,0
0,1,0,0.46095,0.5
0,1,0,0.602735,0.5
0,1,0,1,0
0,1,0,0.971772,0.5
0,1,0,0.582525,0.5
0,1,0,0.603652,0.5
0,1,0,1.12845,0.5
0,1,0,0.662848,0.5
0,1,0,0.55348,0.5
0,1,0,0.803835,0
0,1,0,1,0
0,1,0,0.899428,0.5
0,1,0,1,0
0,1,0,0.188495,0
0,1,0,0.270278,0
0,1,0,1,0
0,1,0,0.133451,0
0,1,0,1.03494,0.5
0,1,0,0.0384266,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.565933,0
0,1,0,0.847611,0.5
0,1,0,1.05329,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.0887179,0
0,1,0,0.432423,0
0,1,0,1.30027,0.5
0,1,0,0.727008,0.5
0,1,0,0.879006,0.5
0,1,0,0.413451,0.5
0,1,0,1,0
0,1,0,0.996164,0.5
0,1,0,1.4847,0.5
0,1,0,1.49918,0.5
0,1,0,0.633938,0.5
0,1,0,1.80043,0.5
0,1,0,1,0
0,1,0,0.245572,0
0,1,0,1.73559,0.5
0,1,0,1,0
0,1,0,0.505701,0.5
0,1,0,1.50002,0.5
0,1,0,1.3028,0.5
0,1,0,0.580463,0.5
0,1,0,0.578035,0
0,1,0,0.486581,0
0,1,0,0.28154,0
0,1,0,1.65212,0.5
0,1,0,0.687496,0.5
0,1,0,1.85811,0.5
0,1,0,0.837763,0.5
0,1,0,1,0
0,1,0,1.63131,0.5
0,1,0,1,0
0,1,0,1.12527,0.5
0,1,0,0.278773,0
0,1,0,1,0
0,1,0,0.308159,0
0,1,0,0.941411,0.5
0,1,0,0.83039,0.5
0,1,0,0.626344,0.5
0,1,0,0.276441,0
0,1,0,0.586163,0.5
0,1,0,1,0
0,1,0,1.1948,0.5
0,1,0,0.871685,0.5
0,1,0,0.381786,0
0,1,0,0.296711,0
0,1,0,1.13098,0.5
0,1,0,0.896175,0.5
0,1,0,0.945481,0.5
0,1,0,0.389832,0
0,1,0,1.14804,0.5
0,1,0,0.37303,0
0,1,0,0.852924,0.5
0,1,0,0.155445,0
0,1,0,1.76748,0.5
0,1,0,0.689587,0.5
0,1,0,0.358714,0.5
0,1,0,2.1369,0.5
0,1,0,1,0
0,1,0,0.987007,0.5
0,1,0,1,0
0,1,0,0.806167,0.5
0,1,0,1,0
0,1,0,1.25542,0.5
0,1,0,1,0
0,1,0,1.03459,0.5
0,1,0,1,0
0,1,0,0.552662,0
0,1,0,1.3638,0.5
0,1,0,1.07475,0.5
0,1,0,1.29235,0.5
0,1,0,0.952807,0.5
0,1,0,0.820419,0.5
0,1,0,1.28443,0.5
0,1,0,0.239085,0
0,1,0,1,0
0,1,0,0.695816,0.5
0,1,0,0.436016,0.5
0,1,0,0.160622,0
0,1,0,1,0
0,1,0,0.525593,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,1.60526,0.5
0,1,0,0.727672,0.5
0,1,0,0.681879,0.5
0,1,0,1.41673,0.5
0,1,0,1,0
0,1,0,0.17539,0
0,1,0,1,0
0,1,0,1.13164,0.5
0,1,0,0.903971,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,1.84538,0.5
0,1,0,0.100742,0
0,1,0,0.3621,0
0,1,0,0.71665,0.5
0,1,0,1.67247,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,0.132293,0
0,1,0,0.143468,0
0,1,0,0.535339,0
0,1,0,0.600216,0.5
0,1,0,1,0
0,1,0,0.189858,0
0,1,0,1.62719,0.5
0,1,0,0.75044,0
0,1,0,2.2125,0.5
0,1,0,1,0
0,1,0,0.206999,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.483323,0
0,1,0,0.70523,0
0,1,0,1.1853,0.5
0,1,0,1.04816,0.5
0,1,0,0.397468,0.5
0,1,0,0.699883,0
0,1,0,1.66474,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,1.2684,0.5
0,1,0,1.94469,0.5
0,1,0,0.0550119,0
0,1,0,0.92522,0.5
0,1,0,1.1765,0.5
0,1,0,1.47033,0.5
0,1,0,0.803654,0
0,1,0,1,0
0,1,0,0.245269,0
0,1,0,0.412966,0
0,1,0,0.886072,0.5
0,1,0,0.0373545,0
0,1,0,0.434155,0
0,1,0,0.432553,0.5
0,1,0,1,0
0,1,0,1.28602,0.5
0,1,0,0.703075,0.5
0,1,0,0.757568,0.5
0,1,0,1.07468,0.5
0,1,0,1,0
0,1,0,0.129467,0
0,1,0,0.76712,0.5
0,1,0,0.186721,0
0,1,0,1,0
0,1,0,0.231566,0
0,1,0,0.58279,0
0,1,0,1.28524,0.5
0,1,0,0.997386,0.5
0,1,0,0.189929,0
0,1,0,1,0
0,1,0,0.794197,0.5
0,1,0,0.485279,0.5
0,1,0,0.0908582,0
0,1,0,0.481409,0.5
0,1,0,1.18595,0.5
0,1,0,0.0725067,0
0,1,0,2.15169,0.5
0,1,0,0.927823,0.5
0,1,0,0.27784,0
0,1,0,1.12393,0.5
0,1,0,1.16626,0.5
0,1,0,0.42211,0.5
0,1,0,0.689909,0.5
0,1,0,1.22141,0.5
0,1,0,1.52319,0.5
0,1,0,1,0
0,1,0,0.509981,0.5
0,1,0,1,0
0,1,0,2.09339,0.5
0,1,0,1,0
0,1,0,0.617803,0.5
0,1,0,0.854472,0.5
0,1,0,1,0
0,1,0,0.216411,0
0,1,0,0.495436,0.5
0,1,0,0.902313,0.5
0,1,0,1,0
0,1,0,0.320987,0
0,1,0,0.582396,0
0,1,0,1.29149,0.5
0,1,0,0.415842,0.5
0,1,0,0.897105,0.5
0,1,0,1,0
0,1,0,1.15182,0.5
0,1,0,1.42534,0.5
0,1,0,0.0579402,0
0,1,0,1.65883,0.5
0,1,0,1.11459,0.5
0,1,0,2.25126,0.5
0,1,0,1.50124,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,0.498433,0.5
0,1,0,0.383167,0
0,1,0,1.31401,0.5
0,1,0,0.288529,0
0,1,0,1.3799,0.5
0,1,0,0.501214,0
0,1,0,0.590288,0
0,1,0,1,0
0,1,0,0.508686,0.5
0,1,0,0.680799,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,1.12158,0.5
0,1,0,0.532652,0.5
0,1,0,1,0
0,1,0,1.00711,0.5
0,1,0,0.122893,0
0,1,0,1,0
0,1,0,0.34335,0
0,1,0,0.734675,0.5
0,1,0,0.582355,0.5
0,1,0,1.34427,0.5
0,1,0,2.39811,0.5
0,1,0,0.939443,0.5
0,1,0,1.64923,0.5
0,1,0,1.14413,0.5
0,1,0,0.277007,0
0,1,0,1.07459,0.5
0,1,0,0.610403,0
0,1,0,1.08742,0.5
0,1,0,0.547402,0
0,1,0,1,0
0,1,0,1.82829,0.5
0,1,0,0.801567,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,0.22877,0
0,1,0,0.143335,0
0,1,0,1,0
0,1,0,2.37698,0.5
0,1,0,1,0
0,1,0,0.887721,0.5
0,1,0,0.492538,0
0,1,0,0.451179,0
0,1,0,0.723635,0.5
0,1,0,1.76794,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,0.420403,0
0,1,0,1.3664,0.5
0,1,0,1.17244,0.5
0,1,0,0.860474,0.5
0,1,0,0.393377,0
0,1,0,0.532373,0.5
0,1,0,1.33351,0.5
0,1,0,0.99338,0.5
0,1,0,0.43615,0.5
0,1,0,1,0
0,1,0,0.96891,0.5
0,1,0,0.558645,0
0,1,0,0.459413,0
0,1,0,1.11856,0.5
0,1,0,1,0
0,1,0,1.1126,0.5
0,1,0,0.108929,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.04845,0.5
0,1,0,1,0
0,1,0,1.43601,0.5
0,1,0,1,0
0,1,0,0.920315,0.5
0,1,0,0.708542,0.5
0,1,0,0.23953,0
0,1,0,0.66496,0.5
0,1,0,1.06496,0.5
0,1,0,2.30563,0.5
0,1,0,1.22464,0.5
0,1,0,0.465702,0
0,1,0,0.694858,0.5
0,1,0,0.850673,0.5
0,1,0,0.863342,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,1.41577,0.5
0,1,0,1,0
0,1,0,0.865152,0.5
0,1,0,1,0
0,1,0,0.198149,0
0,1,0,1.5195,0.5
0,1,0,0.617137,0.5
0,1,0,0.219197,0
0,1,0,0.999097,0.5
0,1,0,1,0
0,1,0,1.91353,0.5
0,1,0,1.37236,0.5
0,1,0,1,0
0,1,0,1.00136,0.5
0,1,0,0.670897,0
0,1,0,0.25423,0
0,1,0,2.12821,0.5
0,1,0,1,0
0,1,0,0.477089,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.95444,0.5
0,1,0,0.835265,0.5
0,1,0,0.648179,0.5
0,1,0,1,0
0,1,0,0.773708,0.5
0,1,0,1.11739,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,0.93922,0.5
0,1,0,1,0
0,1,0,1.15974,0.5
0,1,0,1,0
0,1,0,2.12068,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,0.63066,0.5
0,1,0,0.987018,0.5
0,1,0,1.66385,0.5
0,1,0,0.275045,0
0,1,0,0.904134,0.5
0,1,0,1,0
0,1,0,0.00433147,0
0,1,0,1.77915,0.5
0,1,0,0.688697,0.5
0,1,0,1,0
0,1,0,1.60645,0.5
0,1,0,0.127093,0
0,1,0,0.812249,0.5
0,1,0,0.791298,0.5
0,1,0,0.994418,0.5
0,1,0,0.49107,0.5
0,1,0,1,0
0,1,0,1.6575,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,1.07463,0.5
0,1,0,0.555529,0.5
0,1,0,0.543859,0.5
0,1,0,1,0
0,1,0,0.3125,0
0,1,0,1.58469,0.5
0,1,0,1,0
0,1,0,1.14047,0.5
0,1,0,1,0
0,1,0,0.926606,0.5
0,1,0,0.755307,0.5
0,1,0,0.494845,0
0,1,0,0.141602,0
0,1,0,0.232176,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.994367,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,0.289831,0
0,1,0,0.690724,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,0.209716,0
0,1,0,1.12857,0.5
0,1,0,0.485695,0.5
0,1,0,0.313028,0
0,1,0,0.913025,0
0,1,0,1.9047,0.5
0,1,0,1.00355,0.5
0,1,0,1,0
0,1,0,0.84116,0.5
0,1,0,1.09979,0.5
0,1,0,0.336243,0
0,1,0,1.91018,0.5
0,1,0,0.109602,0
0,1,0,0.63238,0.5
0,1,0,0.276797,0
0,1,0,0.983499,0.5
0,1,0,1.28433,0.5
0,1,0,0.900068,0.5
0,1,0,0.694156,0.5
0,1,0,0.17285,0
0,1,0,1,0
0,1,0,0.345613,0
0,1,0,0.785495,0.5
0,1,0,0.52829,0
0,1,0,1.34153,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,1.02416,0.5
0,1,0,0.595454,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.965854,0.5
0,1,0,1.29764,0.5
0,1,0,0.540161,0.5
0,1,0,1.52142,0.5
0,1,0,0.767078,0.5
0,1,0,0.853066,0.5
0,1,0,2.53423,0.5
0,1,0,0.641021,0.5
0,1,0,0.249215,0
0,1,0,1,0
0,1,0,0.639291,0.5
0,1,0,0.254353,0
0,1,0,1,0
0,1,0,0.525716,0
0,1,0,1,0
0,1,0,0.527007,0.5
0,1,0,2.04776,0.5
0,1,0,1.64967,0.5
0,1,0,0.612952,0.5
0,1,0,1.48263,0.5
0,1,0,1.28766,0.5
0,1,0,1,0
0,1,0,1.89741,0.5
0,1,0,1,0
0,1,0,0.647207,0.5
0,1,0,1.19566,0.5
0,1,0,0.407292,0
0,1,0,0.641394,0.5
0,1,0,2.04484,0.5
0,1,0,1.72275,0.5
0,1,0,1,0
0,1,0,0.056132,0
0,1,0,0.440952,0
0,1,0,0.228963,0
0,1,0,0.314815,0
0,1,0,1.08078,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,1.66954,0.5
0,1,0,0.441523,0
0,1,0,0.209651,0
0,1,0,1,0
0,1,0,0.890283,0.5
0,1,0,0.546661,0.5
0,1,0,0.221412,0
0,1,0,1.09332,0.5
0,1,0,0.691905,0
0,1,0,0.179899,0
0,1,0,1.52448,0.5
0,1,0,0.887225,0.5
0,1,0,0.431556,0
0,1,0,1,0
0,1,0,1.62478,0.5
0,1,0,0.563085,0
0,1,0,1,0
0,1,0,0.774344,0
0,1,0,0.645387,0.5
0,1,0,0.250434,0
0,1,0,0.926848,0.5
0,1,0,1,0
0,1,0,2.09344,0.5
0,1,0,1.44934,0.5
0,1,0,0.461985,0
0,1,0,1,0
0,1,0,0.45931,0
0,1,0,2.35193,0.5
0,1,0,1.38665,0.5
0,1,0,0.546121,0.5
0,1,0,1,0
0,1,0,1.09731,0.5
0,1,0,0.350455,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.467966,0
0,1,0,0.978941,0.5
0,1,0,0.913586,0.5
0,1,0,1.13592,0.5
0,1,0,1,0
0,1,0,0.675146,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.635364,0
0,1,0,0.0485474,0
0,1,0,0.352088,0
0,1,0,1.68968,0.5
0,1,0,0.877698,0.5
0,1,0,1,0
0,1,0,0.624253,0
0,1,0,1,0
0,1,0,0.554075,0.5
0,1,0,1,0
0,1,0,0.267855,0
0,1,0,1.25584,0.5
0,1,0,0.255121,0
0,1,0,0.389009,0
0,1,0,1.41053,0.5
0,1,0,0.170603,0
0,1,0,0.942233,0.5
0,1,0,0.95328,0.5
0,1,0,1.69221,0.5
0,1,0,1.9462,0.5
0,1,0,0.348927,0
0,1,0,0.723647,0.5
0,1,0,0.575027,0
0,1,0,1.15637,0.5
0,1,0,0.562394,0
0,1,0,1.24146,0.5
0,1,0,1.09373,0.5
0,1,0,0.685774,0.5
0,1,0,1.28004,0.5
0,1,0,0.834739,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,0.885056,0.5
0,1,0,0.17405,0
0,1,0,1.19859,0.5
0,1,0,1.14974,0.5
0,1,0,1,0
0,1,0,0.39068,0
0,1,0,0.798864,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,0.571282,0.5
0,1,0,0.578954,0.5
0,1,0,0.443813,0
0,1,0,0.712209,0.5
0,1,0,0.596577,0
0,1,0,0.83874,0.5
0,1,0,1,0
0,1,0,0.994061,0.5
0,1,0,1.06754,0.5
0,1,0,0.275201,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.51658,0.5
0,1,0,0.148399,0
