Epsilon,Length,Delay,TotalError,CalcError
0,1,0,1.24079,0.5
0,1,0,0.6038,0
0,1,0,1,0
0,1,0,1.05979,0.5
0,1,0,2.06576,0.5
0,1,0,0.616841,0.5
0,1,0,0.489114,0.5
0,1,0,1.08892,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,0.358699,0
0,1,0,1,0
0,1,0,1.45882,0.5
0,1,0,0.628341,0
0,1,0,1,0
0,1,0,0.596702,0.5
0,1,0,1.0084,0.5
0,1,0,1,0
0,1,0,0.325697,0
0,1,0,1,0
0,1,0,1.71879,0.5
0,1,0,1,0
0,1,0,0.753226,0.5
0,1,0,0.680316,0.5
0,1,0,0.864807,0.5
0,1,0,0.470107,0
0,1,0,1.15914,0.5
0,1,0,1.64201,0.5
0,1,0,0.546531,0
0,1,0,1.17347,0.5
0,1,0,1,0
0,1,0,0.725922,0.5
0,1,0,0.503624,0
0,1,0,0.339032,0
0,1,0,1,0
0,1,0,0.83285,0.5
0,1,0,0.775609,0.5
0,1,0,0.30311,0
0,1,0,0.850254,0.5
0,1,0,0.774397,0.5
0,1,0,1.43113,0.5
0,1,0,0.0273232,0
0,1,0,0.248013,0
0,1,0,1,0
0,1,0,1.087,0.5
0,1,0,0.770937,0.5
0,1,0,0.976588,0.5
0,1,0,1,0
0,1,0,1.3871,0.5
0,1,0,0.5338,0
0,1,0,0.548556,0
0,1,0,1,0
0,1,0,0.163663,0
0,1,0,1,0
0,1,0,0.243667,0
0,1,0,0.950817,0.5
0,1,0,1,0
0,1,0,1.00544,0.5
0,1,0,0.867466,0.5
0,1,0,0.598342,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,0.38821,0
0,1,0,1.07693,0.5
0,1,0,0.365912,0
0,1,0,0.989565,0.5
0,1,0,0.805288,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.531291,0.5
0,1,0,0.839958,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.783848,0.5
0,1,0,0.88801,0.5
0,1,0,0.612748,0.5
0,1,0,0.0977231,0
0,1,0,0.571867,0
0,1,0,2.00648,0.5
0,1,0,0.314944,0
0,1,0,1.44532,0.5
0,1,0,0.836711,0.5
0,1,0,1,0
0,1,0,0.38085,0
0,1,0,1.2893,0.5
0,1,0,1.59935,0.5
0,1,0,0.818759,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.30084,0.5
0,1,0,0.147883,0
0,1,0,2.34292,0.5
0,1,0,1.64743,0.5
0,1,0,0.958541,0.5
0,1,0,1,0
0,1,0,0.967905,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,1.39774,0.5
0,1,0,0.974006,0.5
0,1,0,0.0816396,0
0,1,0,1,0
0,1,0,0.0479115,0
0,1,0,1.46885,0.5
0,1,0,0.63215,0
0,1,0,0.891568,0.5
0,1,0,0.319505,0
0,1,0,0.494215,0.5
0,1,0,1.37422,0.5
0,1,0,1.55217,0.5
0,1,0,1.82345,0.5
0,1,0,1,0
0,1,0,0.501333,0
0,1,0,0.285987,0
0,1,0,0.513535,0.5
0,1,0,1,0
0,1,0,0.762969,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,0.774305,0.5
0,1,0,0.59667,0
0,1,0,1,0
0,1,0,0.524765,0
0,1,0,0.59936,0
0,1,0,0.528638,0.5
0,1,0,0.952071,0.5
0,1,0,0.861417,0.5
0,1,0,0.434496,0
0,1,0,1.49977,0.5
0,1,0,1.0407,0.5
0,1,0,0.422875,0
0,1,0,1,0
0,1,0,0.644365,0.5
0,1,0,0.210257,0
0,1,0,1,0
0,1,0,0.914748,0.5
0,1,0,0.57442,0.5
0,1,0,1.37913,0.5
0,1,0,0.460853,0
0,1,0,1,0
0,1,0,0.496544,0.5
0,1,0,1,0
0,1,0,1.24482,0.5
0,1,0,0.73521,0.5
0,1,0,0.430657,0.5
0,1,0,0.316097,0
0,1,0,0.235293,0
0,1,0,1,0
0,1,0,1.77999,0.5
0,1,0,0.246829,0
0,1,0,0.548894,0.5
0,1,0,0.349901,0
0,1,0,1.45319,0.5
0,1,0,1.12539,0.5
0,1,0,0.107258,0
0,1,0,1.59497,0.5
0,1,0,0.289779,0
0,1,0,1,0
0,1,0,0.501523,0.5
0,1,0,0.957184,0.5
0,1,0,1.03626,0.5
0,1,0,1,0
0,1,0,1.04559,0.5
0,1,0,0.198915,0
0,1,0,1,0
0,1,0,0.90639,0
0,1,0,0.432997,0
0,1,0,1,0
0,1,0,1.48156,0.5
0,1,0,0.181536,0
0,1,0,0.779603,0
0,1,0,0.237308,0
0,1,0,0.910955,0.5
0,1,0,1,0
0,1,0,0.743469,0.5
0,1,0,2.38523,0.5
0,1,0,1.48858,0.5
0,1,0,0.61924,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.570808,0
0,1,0,1.39865,0.5
0,1,0,1.33964,0.5
0,1,0,0.359521,0
0,1,0,0.975614,0.5
0,1,0,0.966164,0.5
0,1,0,0.966666,0.5
0,1,0,0.595547,0.5
0,1,0,0.712295,0.5
0,1,0,0.700188,0.5
0,1,0,1.01448,0.5
0,1,0,0.648914,0.5
0,1,0,0.231798,0
0,1,0,0.807123,0.5
0,1,0,1,0
0,1,0,0.17846,0
0,1,0,0.25636,0
0,1,0,1,0
0,1,0,0.772017,0
0,1,0,0.939873,0.5
0,1,0,0.220055,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.70892,0.5
0,1,0,1,0
0,1,0,1.52832,0.5
0,1,0,1.01596,0.5
0,1,0,0.440198,0
0,1,0,1,0
0,1,0,0.566397,0.5
0,1,0,2.50229,0.5
0,1,0,1.53976,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,1.29573,0.5
0,1,0,0.926173,0.5
0,1,0,1.05001,0.5
0,1,0,0.579806,0.5
0,1,0,0.664303,0.5
0,1,0,0.364842,0
0,1,0,0.76855,0.5
0,1,0,1.68145,0.5
0,1,0,1,0
0,1,0,0.981406,0.5
0,1,0,0.410054,0
0,1,0,2.07912,0.5
0,1,0,0.752021,0.5
0,1,0,0.196763,0
0,1,0,1.92805,0.5
0,1,0,0.294924,0
0,1,0,0.800509,0.5
0,1,0,0.967618,0.5
0,1,0,1,0
0,1,0,2.04947,0.5
0,1,0,1,0
0,1,0,1.00048,0.5
0,1,0,0.911611,0.5
0,1,0,0.63657,0.5
0,1,0,0.834353,0.5
0,1,0,1.08498,0.5
0,1,0,0.0078077,0
0,1,0,0.453686,0
0,1,0,0.717661,0
0,1,0,0.567703,0.5
0,1,0,1,0
0,1,0,0.676799,0.5
0,1,0,1.32787,0.5
0,1,0,0.650948,0
0,1,0,0.266658,0
0,1,0,0.60761,0
0,1,0,0.166101,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.57252,0.5
0,1,0,0.548336,0.5
0,1,0,0.797226,0.5
0,1,0,0.0311489,0
0,1,0,1.29276,0.5
0,1,0,0.625515,0
0,1,0,0.620702,0.5
0,1,0,0.372939,0
0,1,0,1,0
0,1,0,1.4615,0.5
0,1,0,0.954402,0.5
0,1,0,0.238009,0
0,1,0,1,0
0,1,0,0.751369,0.5
0,1,0,1.50165,0.5
0,1,0,1,0
0,1,0,1.45407,0.5
0,1,0,0.750381,0.5
0,1,0,0.961996,0.5
0,1,0,0.732422,0.5
0,1,0,0.951577,0.5
0,1,0,0.948475,0.5
0,1,0,0.513524,0
0,1,0,1,0
0,1,0,1.26555,0.5
0,1,0,0.918019,0.5
0,1,0,1,0
0,1,0,0.813049,0.5
0,1,0,0.353467,0
0,1,0,1.59764,0.5
0,1,0,0.76785,0.5
0,1,0,0.743324,0.5
0,1,0,1,0
0,1,0,0.755612,0.5
0,1,0,0.537694,0.5
0,1,0,1.7411,0.5
0,1,0,0.512352,0.5
0,1,0,1.11515,0.5
0,1,0,1,0
0,1,0,1.3633,0.5
0,1,0,1.0876,0.5
0,1,0,1,0
0,1,0,0.266023,0
0,1,0,0.426628,0
0,1,0,1,0
0,1,0,0.597923,0
0,1,0,1,0
0,1,0,0.866936,0.5
0,1,0,1.02529,0.5
0,1,0,0.443824,0
0,1,0,0.356675,0
