Epsilon,Length,Delay,TotalError,CalcError
0,1,0,1.63961,0.5
0,1,0,0.418835,0.5
0,1,0,0.889295,0.5
0,1,0,2.41328,0.5
0,1,0,0.603758,0.5
0,1,0,0.190043,0
0,1,0,1.10248,0.5
0,1,0,0.114219,0
0,1,0,0.54144,0.5
0,1,0,0.135836,0
0,1,0,0.885702,0.5
0,1,0,0.233458,0
0,1,0,1,0
0,1,0,2.4537,0.5
0,1,0,1,0
0,1,0,0.324062,0
0,1,0,1,0
0,1,0,0.823186,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.26122,0.5
0,1,0,0.357148,0
0,1,0,1,0
0,1,0,1.17821,0.5
0,1,0,1,0
0,1,0,0.155652,0
0,1,0,1.39469,0.5
0,1,0,0.217599,0
0,1,0,0.64771,0.5
0,1,0,1.34591,0.5
0,1,0,1,0
0,1,0,0.0713437,0
0,1,0,1.81561,0.5
0,1,0,0.935121,0.5
0,1,0,0.539589,0
0,1,0,0.913686,0
0,1,0,1.37016,0.5
0,1,0,0.121472,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.62232,0.5
0,1,0,0.0795594,0
0,1,0,0.365218,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.562288,0.5
0,1,0,1,0
0,1,0,0.360967,0
0,1,0,0.222755,0
0,1,0,0.310434,0
0,1,0,1,0
0,1,0,0.286181,0
0,1,0,0.456696,0.5
0,1,0,1.68522,0.5
0,1,0,1.46873,0.5
0,1,0,0.365751,0
0,1,0,1.20272,0.5
0,1,0,0.568071,0
0,1,0,0.940323,0.5
0,1,0,0.452914,0
0,1,0,0.976961,0.5
0,1,0,0.305234,0
0,1,0,0.496443,0.5
0,1,0,0.17569,0
0,1,0,0.317632,0
0,1,0,1.11747,0.5
0,1,0,0.686717,0.5
0,1,0,0.693696,0.5
0,1,0,0.871982,0.5
0,1,0,0.926223,0.5
0,1,0,0.736238,0.5
0,1,0,0.63631,0.5
0,1,0,1,0
0,1,0,1.23465,0.5
0,1,0,0.283207,0
0,1,0,1.86734,0.5
0,1,0,0.0409269,0
0,1,0,0.704163,0.5
0,1,0,1.1746,0.5
0,1,0,0.694382,0.5
0,1,0,0.923609,0.5
0,1,0,1,0
0,1,0,0.116867,0
0,1,0,0.220938,0
0,1,0,0.771455,0.5
0,1,0,0.671286,0.5
0,1,0,1,0
0,1,0,0.826903,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,1.48517,0.5
0,1,0,0.323123,0
0,1,0,1,0
0,1,0,0.784578,0.5
0,1,0,1,0
0,1,0,1.03799,0.5
0,1,0,1.0363,0.5
