Epsilon,Length,Delay,TotalError,CalcError
0,1,0,0.591644,0
0,1,0,1,0
0,1,0,1.54734,0.5
0,1,0,1.52843,0.5
0,1,0,1,0
0,1,0,0.406257,0.5
0,1,0,0.254685,0
0,1,0,1.13951,0.5
0,1,0,0.858544,0.5
0,1,0,1,0
0,1,0,0.620558,0.5
0,1,0,0.655499,0.5
0,1,0,0.883191,0.5
0,1,0,1.92008,0.5
0,1,0,0.637629,0.5
0,1,0,0.951082,0.5
0,1,0,1,0
0,1,0,0.430864,0
0,1,0,1.31719,0.5
0,1,0,0.61563,0.5
0,1,0,0.920506,0.5
0,1,0,0.599006,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.251291,0
0,1,0,0.249826,0
0,1,0,0.725732,0.5
0,1,0,0.991752,0.5
0,1,0,1.15019,0.5
0,1,0,0.380017,0
0,1,0,0.406778,0
0,1,0,1.59134,0.5
0,1,0,0.248881,0
0,1,0,0.608082,0.5
0,1,0,1.24392,0.5
0,1,0,0.509349,0.5
0,1,0,1.60317,0.5
0,1,0,1.21884,0.5
0,1,0,1,0
0,1,0,2.1115,0.5
0,1,0,1.17997,0.5
0,1,0,0.525669,0
0,1,0,0.412543,0
0,1,0,0.697384,0.5
0,1,0,1,0
0,1,0,0.821517,0
0,1,0,0.788642,0.5
0,1,0,1,0
0,1,0,1.91579,0.5
0,1,0,1.03927,0.5
0,1,0,1.60112,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,1.09446,0.5
0,1,0,1.20395,0.5
0,1,0,1.19242,0.5
0,1,0,1,0
0,1,0,0.608385,0.5
0,1,0,1.47093,0.5
0,1,0,1,0
0,1,0,0.446947,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.590201,0
0,1,0,0.724497,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.64625,0.5
0,1,0,0.397908,0
0,1,0,0.826012,0.5
0,1,0,0.277223,0
0,1,0,1,0
0,1,0,0.27847,0
0,1,0,0.392852,0
0,1,0,0.615822,0.5
0,1,0,0.880878,0.5
0,1,0,0.384461,0
0,1,0,0.321482,0
0,1,0,0.499589,0
0,1,0,0.575622,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,0.764699,0.5
0,1,0,1,0
0,1,0,1.98128,0.5
0,1,0,0.37859,0
0,1,0,0.455004,0.5
0,1,0,0.495149,0.5
0,1,0,1.30967,0.5
0,1,0,1,0
0,1,0,0.226276,0
0,1,0,0.705898,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,0.972442,0
0,1,0,1,0
0,1,0,0.108652,0
0,1,0,0.328927,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.539478,0.5
0,1,0,1,0
0,1,0,0.706487,0.5
0,1,0,0.647994,0
0,1,0,1,0
0,1,0,0.221617,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.133022,0
0,1,0,0.823441,0
0,1,0,0.292125,0
0,1,0,0.40786,0
0,1,0,1,0
0,1,0,0.198286,0
0,1,0,1,0
0,1,0,0.336607,0
0,1,0,1.05954,0.5
0,1,0,1,0
0,1,0,0.909685,0.5
0,1,0,1.03438,0.5
0,1,0,0.516086,0
0,1,0,0.455632,0.5
0,1,0,0.520988,0.5
0,1,0,1.23619,0.5
0,1,0,0.384012,0
0,1,0,0.429553,0
0,1,0,0.543775,0.5
0,1,0,1.00427,0.5
0,1,0,1.23162,0.5
0,1,0,1,0
0,1,0,0.600178,0.5
0,1,0,0.473049,0.5
0,1,0,1,0
0,1,0,0.611645,0
0,1,0,1,0
0,1,0,0.24276,0
0,1,0,1.21373,0.5
0,1,0,0.554238,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.64754,0.5
0,1,0,0.85888,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,0.141614,0
0,1,0,1,0
0,1,0,0.466322,0
0,1,0,1,0
0,1,0,0.977039,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.907285,0.5
0,1,0,1,0
0,1,0,0.849647,0
0,1,0,1.5793,0.5
0,1,0,1.4801,0.5
0,1,0,0.687225,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,1.34921,0.5
0,1,0,0.617268,0.5
0,1,0,1.83572,0.5
0,1,0,1,0
0,1,0,0.884791,0.5
0,1,0,0.255413,0
0,1,0,1.06506,0.5
0,1,0,0.146312,0
0,1,0,0.170537,0
0,1,0,1.05641,0.5
0,1,0,0.307196,0
0,1,0,0.575002,0.5
0,1,0,0.530914,0
0,1,0,0.764411,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,1.66132,0.5
0,1,0,1.00266,0.5
0,1,0,0.372294,0
0,1,0,0.316517,0
0,1,0,0.854941,0.5
0,1,0,1.41442,0.5
0,1,0,0.61103,0.5
0,1,0,1.54853,0.5
0,1,0,0.28745,0
0,1,0,0.841117,0.5
0,1,0,0.471878,0
0,1,0,1.27265,0.5
0,1,0,0.264404,0
0,1,0,0.73921,0.5
0,1,0,0.676207,0.5
0,1,0,1,0
0,1,0,0.954415,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,0.629902,0.5
0,1,0,0.300893,0
0,1,0,1,0
0,1,0,0.207544,0
0,1,0,0.148964,0
0,1,0,0.412269,0.5
0,1,0,0.557133,0.5
0,1,0,0.19516,0
0,1,0,1.36578,0.5
0,1,0,0.641661,0.5
0,1,0,1,0
0,1,0,0.766116,0.5
0,1,0,0.491397,0.5
0,1,0,1,0
0,1,0,0.482799,0.5
0,1,0,0.267498,0
0,1,0,1,0
0,1,0,0.942209,0.5
0,1,0,1.75302,0.5
0,1,0,1,0
0,1,0,0.0706909,0
0,1,0,1.71497,0.5
0,1,0,0.111675,0
0,1,0,1,0
0,1,0,1.00129,0.5
0,1,0,0.84977,0.5
0,1,0,0.809761,0
0,1,0,1.38883,0.5
0,1,0,0.506081,0
0,1,0,1,0
0,1,0,1.14426,0.5
0,1,0,1.25949,0.5
0,1,0,0.307135,0
0,1,0,0.624226,0.5
0,1,0,1,0
0,1,0,2.0267,0.5
0,1,0,0.278152,0
0,1,0,1.32094,0.5
0,1,0,1,0
0,1,0,0.774494,0.5
0,1,0,1.9594,0.5
0,1,0,0.750912,0.5
0,1,0,1.24181,0.5
0,1,0,0.353446,0
0,1,0,1.52995,0.5
0,1,0,0.184602,0
0,1,0,0.720781,0.5
0,1,0,0.707842,0.5
0,1,0,0.0376263,0
0,1,0,1.25495,0.5
0,1,0,0.286396,0
0,1,0,0.233815,0
0,1,0,0.990024,0.5
0,1,0,1,0
0,1,0,0.101878,0
0,1,0,1,0
0,1,0,0.308553,0
0,1,0,2.57834,0.5
0,1,0,0.692685,0.5
0,1,0,0.765535,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,0.89221,0.5
0,1,0,1,0
0,1,0,1.24004,0.5
0,1,0,2.06859,0.5
0,1,0,1.53995,0.5
0,1,0,0.142559,0
0,1,0,1.40425,0.5
0,1,0,1,0
0,1,0,0.127237,0
0,1,0,0.42142,0.5
0,1,0,1.05162,0.5
0,1,0,0.287653,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.501938,0
0,1,0,1.41502,0.5
0,1,0,1.39726,0.5
0,1,0,0.893948,0
0,1,0,0.842955,0.5
0,1,0,0.216324,0
0,1,0,0.205954,0
0,1,0,0.776349,0
0,1,0,1,0
0,1,0,1.07016,0.5
0,1,0,0.895628,0.5
0,1,0,1,0
0,1,0,0.348455,0
0,1,0,0.997182,0.5
0,1,0,1.31431,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,0.804183,0
0,1,0,1.44647,0.5
0,1,0,1.87901,0.5
0,1,0,1,0
0,1,0,0.60126,0
0,1,0,1.13831,0.5
0,1,0,1.76684,0.5
0,1,0,1.57161,0.5
0,1,0,1,0
0,1,0,1.84052,0.5
0,1,0,0.860072,0.5
0,1,0,0.131324,0
0,1,0,1.69057,0.5
0,1,0,0.762818,0.5
0,1,0,0.841128,0.5
0,1,0,0.76769,0.5
0,1,0,0.226043,0
0,1,0,0.438803,0
0,1,0,0.462065,0.5
0,1,0,0.543515,0.5
0,1,0,0.749502,0
0,1,0,1.00368,0.5
0,1,0,0.998116,0.5
0,1,0,0.784277,0.5
0,1,0,0.751832,0.5
0,1,0,1.44795,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.964265,0
0,1,0,1,0
0,1,0,1.41592,0.5
0,1,0,0.638718,0.5
0,1,0,0.955067,0.5
0,1,0,1,0
0,1,0,0.568193,0.5
0,1,0,1.20235,0.5
0,1,0,0.804195,0.5
0,1,0,0.791941,0.5
0,1,0,1.46717,0.5
0,1,0,1.04423,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,0.8848,0.5
0,1,0,0.331468,0
0,1,0,1,0
0,1,0,1.11128,0.5
0,1,0,1,0
0,1,0,1.15224,0.5
0,1,0,0.835698,0.5
0,1,0,1.75187,0.5
0,1,0,0.193611,0
0,1,0,0.222011,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.991914,0.5
0,1,0,1.20408,0.5
0,1,0,0.365481,0
0,1,0,1.53735,0.5
0,1,0,1,0
0,1,0,0.704328,0.5
0,1,0,0.267478,0
0,1,0,0.49951,0
0,1,0,0.690492,0.5
0,1,0,0.347616,0
0,1,0,0.584942,0
0,1,0,0.249678,0
0,1,0,0.603802,0.5
0,1,0,1,0
0,1,0,1.0563,0.5
0,1,0,0.221877,0
0,1,0,1,0
0,1,0,0.821759,0.5
0,1,0,0.332916,0
0,1,0,1.55407,0.5
0,1,0,0.530141,0
0,1,0,0.739728,0.5
0,1,0,0.916667,0.5
0,1,0,1.2318,0.5
0,1,0,0.672751,0.5
0,1,0,1.93906,0.5
0,1,0,0.355699,0.5
0,1,0,1,0
0,1,0,1,0
0,1,0,1.7921,0.5
0,1,0,1.10062,0.5
0,1,0,1,0
0,1,0,1.37632,0.5
0,1,0,2.29645,0.5
0,1,0,2.04008,0.5
0,1,0,0.650208,0.5
0,1,0,1,0
0,1,0,0.223054,0
0,1,0,0.857514,0.5
0,1,0,1,0
0,1,0,1.88075,0.5
0,1,0,0.580738,0.5
0,1,0,0.361213,0
0,1,0,1,0
0,1,0,0.541849,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.644538,0.5
0,1,0,0.495497,0.5
0,1,0,0.481156,0.5
0,1,0,0.899342,0
0,1,0,0.89975,0.5
0,1,0,1,0
0,1,0,0.841905,0.5
0,1,0,1,0
0,1,0,0.9466,0.5
0,1,0,0.932286,0.5
0,1,0,0.388616,0
0,1,0,1,0
0,1,0,1.56969,0.5
0,1,0,1.08292,0.5
0,1,0,1.04604,0.5
0,1,0,0.852677,0
0,1,0,0.40701,0.5
0,1,0,0.55531,0.5
0,1,0,1,0
0,1,0,0.780213,0.5
0,1,0,0.409397,0
0,1,0,1.66461,0.5
0,1,0,1,0
0,1,0,1.16823,0.5
0,1,0,0.85968,0.5
0,1,0,0.33145,0
0,1,0,0.303399,0
0,1,0,1.17411,0.5
0,1,0,1.62676,0.5
0,1,0,0.687779,0
0,1,0,2.33466,0.5
0,1,0,1.68702,0.5
0,1,0,0.872861,0.5
0,1,0,1,0
0,1,0,0.764023,0
0,1,0,1.49715,0.5
0,1,0,0.308343,0
0,1,0,1.06562,0.5
0,1,0,1.94568,0.5
0,1,0,1,0
0,1,0,0.529756,0.5
0,1,0,0.399846,0.5
0,1,0,1.11242,0.5
0,1,0,0.44284,0
0,1,0,0.92358,0
0,1,0,1,0
0,1,0,0.836292,0.5
0,1,0,1.20173,0.5
0,1,0,1.4128,0.5
0,1,0,0.342037,0
0,1,0,1.0176,0.5
0,1,0,0.498376,0
0,1,0,0.555977,0.5
0,1,0,0.103275,0
0,1,0,0.941249,0
0,1,0,1,0
0,1,0,1.14824,0.5
0,1,0,0.0807955,0
0,1,0,1.2874,0.5
0,1,0,1.13286,0.5
0,1,0,0.483253,0
0,1,0,1.40853,0.5
0,1,0,1,0
