Epsilon,Length,Delay,TotalError,CalcError
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.345975,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.00686,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.518391,0
0,1,0,1,0
0,1,0,0.877679,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.09522,0
0,1,0,1.10717,0
0,1,0,1,0
0,1,0,0.67757,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.705169,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.950447,0
0,1,0,1,0
0,1,0,1.56442,0
0,1,0,0.540205,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.54095,0
0,1,0,0.45673,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.75409,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.590587,0
0,1,0,1,0
0,1,0,1.82227,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.47609,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.25668,0
0,1,0,0.731444,0
0,1,0,0.386967,0
0,1,0,1,0
0,1,0,0.53158,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.941676,0
0,1,0,1.00461,0
0,1,0,1.55106,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.29537,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.329557,0
0,1,0,1,0
0,1,0,1.64374,0
0,1,0,1.52684,0
0,1,0,1,0
0,1,0,0.650025,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.907805,0
0,1,0,1,0
0,1,0,0.32671,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.599619,0
0,1,0,1,0
0,1,0,0.858034,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.772875,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.366294,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.630483,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
