Epsilon,Length,Delay,TotalError,CalcError
0,1,0,1.17575,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.54906,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.36523,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.626245,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.01538,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.1848,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.19783,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.69943,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.03435,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.28672,0
0,1,0,0.668007,0
0,1,0,1,0
0,1,0,0.847222,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.212396,0
0,1,0,1,0
0,1,0,0.383134,0
0,1,0,1,0
0,1,0,1.42116,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.56185,0
0,1,0,1,0
0,1,0,2.17447,0
0,1,0,1,0
0,1,0,1.69464,0
0,1,0,0.866805,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.892581,0
0,1,0,1,0
0,1,0,0.762097,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.970164,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.170572,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.18894,0
0,1,0,0.501644,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.18918,0
0,1,0,0.552564,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.446605,0
0,1,0,1,0
