Epsilon,Length,Delay,TotalError,CalcError
0,1,0,0.4222,0
0,1,0,2.20868,0
0,1,0,0.344329,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.62187,0
0,1,0,1.61844,0
0,1,0,0.873,0
0,1,0,2.25146,0
0,1,0,1,0
0,1,0,0.306755,0
0,1,0,0.487617,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.18982,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.756321,0
0,1,0,1.05241,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.955294,0
0,1,0,0.408198,0
0,1,0,1,0
0,1,0,0.855271,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.861497,0
0,1,0,1.06227,0
0,1,0,1.34782,0
0,1,0,1,0
0,1,0,0.81128,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.296602,0
0,1,0,0.736914,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.428023,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,2.51679,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.29991,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,2.86598,0
0,1,0,1,0
0,1,0,0.783575,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.43146,0
0,1,0,1,0
0,1,0,0.442876,0
0,1,0,0.299074,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.972437,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.25002,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.342827,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.686967,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.28701,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.110714,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.314446,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.42399,0
0,1,0,1,0
0,1,0,1,0
0,1,0,0.748326,0
0,1,0,0.693259,0
0,1,0,1,0
0,1,0,0.764957,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.77402,0
0,1,0,1,0
0,1,0,1,0
0,1,0,2.31977,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1,0
0,1,0,1.03114,0
0,1,0,1.64285,0
0,1,0,1,0
